"0032";"0001";"7C";"2";"Display Signal, Time and Battery Status After Display Time Out (Main Display)";"ON";"Off"
"0032";"0001";"82";"6";"Keynote Sound for Keypresses";"ON";"Off"
"004A";"0001";"-1";"1";"Phone configuration";"DISPLAY and SOUND OPTIONS";"Off"
"004A";"0001";"22";"0";"Custom Sound On Startup (/a/mobile/audio/Start~up.mp3)";"ON";"Off"
"004A";"0001";"23";"0";"Custom Animation On Startup (Seems 0206/0208)";"ON";"Off"
"004A";"0001";"24";"0";"Custom Sound On Shutdown (/a/mobile/audio/Power~down.mp3)";"ON";"Off"
"004A";"0001";"27";"0";"Custom Outer Text (Seems 0061/0062) BIT 1 MUST BE OFF";"ON";"Off"
"004A";"0001";"27";"1";"Use Motorola Icon BIT 0 MUST BE OFF";"ON";"Off"
"004A";"0001";"80";"0";"Number Display with No Dashes or With Dashes xxx-xxx-xxxx";"No Dashes";"Dashes"
"004A";"0001";"148";"0";"MTWTFSS Week Format or SMTWTFS In calendar";"MTWTFSS";"SMTWTFS"
"004A";"0001";"1C0";"0";"Blue Hellomoto Splash Screen or Original Hellomoto Splash Screen";"Blue";"Original"
"0126";"0001";"-1";"1";"Phone configuration";"RECENT CALLS and MY TEL. NUMBERS";"Off"
"0126";"0001";"00";"7";"Display My Phone Number at Power On (Off 4 MUST Be Set - Fix for S/W >38R)";"No Fix";"Fix"
"0126";"0001";"02";"5";"Settings > Phone Status > My Tel. Numbers - Fix for S/W >38R";"Fix";"No Fix"
"0126";"0001";"03";"5";"Display: Recent Calls > Dialed Calls (Display ONCE OR ALL Attempts)";"Once";"All"
"0126";"0001";"03";"6";"Display: Recent Calls > Received Calls (Display ONCE OR ALL Attempts)";"Once";"All"
"0126";"0001";"04";"5";"Display My Phone Number at Power On (Off 0 MUST Be Set - Fix for S/W >38R)";"Fix";"No Fix"
"0025";"0001";"-1";"1";"Phone configuration";"BAND CAPABILITY";"Off"
"0025";"0001";"00";"0";"900/1800 MHz and 1900 MHz (Set Bit 0 and Bit 3 to ON)";"ON";"Off"
"0025";"0001";"00";"1";"900/1800 MHz and 850/1900 MHz (Set Bit 0, Bit 1 and Bit 3 to ON)";"ON";"Off"
"0025";"0001";"00";"2";"900 MHz and 850/1900 MHz (Set Bit 0, Bit 2 and Bit 3 to ON)";"ON";"Off"
"0025";"0001";"00";"3";"1800 MHz and 850/1900 MHz (Set Bit 2 and Bit 3 to ON)";"ON";"Off"
"010a";"0001";"-1";"1";"Phone configuration";"GPRS ATTACH OPTIONS";"Off"
"010a";"0001";"00";"0";"GPRS Auto-Attach At Power-On (If Bit 1 Is ON, Auto-Attach is OFF)";"ON";"Off"
"010a";"0001";"00";"1";"GPRS Detach Immediately After GPRS Data Session (Bit 0 MUST Be ON to Activate)";"ON";"Off"
"00ab";"0001";"-1";"1";"Phone configuration";"BlueTooth MAC Address";"Off"
"017f";"0001";"-1";"1";"Phone configuration";"Flex Name";"Off"
"0117";"0001";"-1";"1";"Phone configuration";"WAP User Agent String Phone Model";"Off"
